id,date,text,query
539545230312488960,Mon Dec 01 22:23:01 +0000 2014,"@google @LEGO_Group @NerfHerder_band &amp; @Barbie will never go out of style!",#GOOG OR @Google
539545789874597888,Mon Dec 01 22:25:15 +0000 2014,"Our recent @Google Think Talk - Human Vs. Machine in Programmatic by @James_Prudhomme http://t.co/TW75GK6f9j #machinelearning #programmatic",#GOOG OR @Google
539546368419708928,Mon Dec 01 22:27:33 +0000 2014,"Still observing @google voice data being intercepted; despite having changed credentials. 

Help? Please? Somehow?",#GOOG OR @Google
539546796398477312,Mon Dec 01 22:29:15 +0000 2014,"@google it must be a match made in heaven with your support for Entrepreneur's Eve ft by @BillyDec http://t.co/hbi7DTgPb6 #WCL #ABC",#GOOG OR @Google
539547025315209216,Mon Dec 01 22:30:09 +0000 2014,"@Google Speadsheets: Modifying Columns, Rows and Cells",#GOOG OR @Google
539547042805477376,Mon Dec 01 22:30:13 +0000 2014,"@Google is upgrading its users to 15GB of unified storage! Find out more:",#GOOG OR @Google
539547947692990464,Mon Dec 01 22:33:49 +0000 2014,"santa just sent me a snapchat of his toilet with the caption 'too many quesaritos.' he's gonna be late so @google update your tracker thing.",#GOOG OR @Google
539547970350247936,Mon Dec 01 22:33:55 +0000 2014,"#News 15000 Amazon robots help send gifts on their way - The Seattle Times http://t.co/M8eOPDDuWP Vía @Google",#GOOG OR @Google
539547971109416960,Mon Dec 01 22:33:55 +0000 2014,"#News Bill Cosby resigns from Temple University board of trustees - MSNBC http://t.co/JS2tlT9aKL Vía @Google",#GOOG OR @Google
539548051585904640,Mon Dec 01 22:34:14 +0000 2014,"#Google [@Google]'s #new 'Jack and #Jill' #Android [@Android] compilers. (#Monday, 1 #December) http://t.co/18eGshW6sP",#GOOG OR @Google
539550332272259074,Mon Dec 01 22:43:18 +0000 2014,"@google # Truth. For design the column capacity axis is at a diagonal for a rectangle &amp; at center of any reinforcing bar for a circle!",#GOOG OR @Google
539551215500406784,Mon Dec 01 22:46:48 +0000 2014,"RT @FortuneMagazine: WATCH: @Google looks to Intel to improve Glass http://t.co/r59f4owjDW",#GOOG OR @Google
539552119800356864,Mon Dec 01 22:50:24 +0000 2014,"@google.twitter.com@",#GOOG OR @Google
539553891314987009,Mon Dec 01 22:57:26 +0000 2014,"Taj Mahal casino closes hotel tower, ends credit http://t.co/TnUAidT0fK @Facebook @Google @Instagram @Reuters @MTV @BBCBreaking @BBCWorld",#GOOG OR @Google
539554149021798400,Mon Dec 01 22:58:28 +0000 2014,"@riotta they will just ignore you ;-)  @google",#GOOG OR @Google
539554335550488576,Mon Dec 01 22:59:12 +0000 2014,"@kandaceofficial nigga its planned out on how to destroy @google http://t.co/VdmCxXxm6E",#GOOG OR @Google
539554692427436032,Mon Dec 01 23:00:37 +0000 2014,"workers use @google glasses to ensure the @BMWGroup #vehicles are up to quality standards. http://t.co/5DAw1TEeB6 http://t.co/QuZ1yIXP84",#GOOG OR @Google
539554928159883265,Mon Dec 01 23:01:33 +0000 2014,"MT @emilykirsch: @sfuncube hosting 100+ #datascientists on Wed for Scaling RE: A perspective from @google http://t.co/9ZuRpX8DT5 #solar",#GOOG OR @Google
539555006295207937,Mon Dec 01 23:01:52 +0000 2014,"(1) argh, why isn't 'binary to decimal' a standard @google unit converter primitive? akin to pounds to tons. http://t.co/hAjwsIaQ6N",#GOOG OR @Google
539555658086219777,Mon Dec 01 23:04:28 +0000 2014,"RT @thegreatleap: Why does my phone keep telling me it needs space? That's what my ex said. @Apple why are you breaking up with me",#AAPL OR @Apple
539555899506171904,Mon Dec 01 23:05:25 +0000 2014,"Is @intel getting into #wearables by partnering with @google on @googleglass ?  #innovation #technologyandstuff #tech http://t.co/igT7vh8hDV",#GOOG OR @Google
539557550614929409,Mon Dec 01 23:11:59 +0000 2014,"Fuck you @google ads, you got a click out of me... Are you happy now?!!? #GoAwayForever",#GOOG OR @Google
539557828584026112,Mon Dec 01 23:13:05 +0000 2014,"@google joins in on the commemorative spirit #UAENationalDay #UAE43 http://t.co/hqzgxsA1wc",#GOOG OR @Google
539560206242676737,Mon Dec 01 23:22:32 +0000 2014,"Love that F'ng @google  only allows 'Don't show this again' if you agree to enable their privacy invasion features.",#GOOG OR @Google
539560422039625728,Mon Dec 01 23:23:23 +0000 2014,"RT @jonisick: Love that F'ng @google  only allows 'Don't show this again' if you agree to enable their privacy invasion features.",#GOOG OR @Google
539561222526738433,Mon Dec 01 23:26:34 +0000 2014,"RT @JoeyDiggsJr: Shoutout to @google translate one time. #GameChanger #LifeSaver",#GOOG OR @Google
539562091225415680,Mon Dec 01 23:30:01 +0000 2014,"Ranking 2014 de Great Place to Work http://t.co/LwzGkQdM2P cc @GPTW_Argentina @SantanderRio @bmsnews @Google",#GOOG OR @Google
539563598226284544,Mon Dec 01 23:36:01 +0000 2014,"Social buzz shows most popular companies on #BlackFriday, @Walmart, @Apple, @Microsoft included: http://t.co/yrcNDg1f2L by @JackMarshall",#AAPL OR @Apple
539563639695736833,Mon Dec 01 23:36:10 +0000 2014,"@MaggieMcCroson @alleywayz @Apple god bless the roasted sweet potato",#AAPL OR @Apple
539563868079394818,Mon Dec 01 23:37:05 +0000 2014,"is the #Nexus6 the worst product release that @google has ever done? I think it is. Still none in stock. Just abysmal. @googlenexus",#GOOG OR @Google
539564054508240896,Mon Dec 01 23:37:49 +0000 2014,"@rwang0 @Apple Thanks...thinking of upgrading.",#AAPL OR @Apple
539564181167828993,Mon Dec 01 23:38:20 +0000 2014,"May I have it???
#:) #cotton #candy #cottoncandy #sweet #pink 
creds to @google @tumblr @unknowntumblruser http://t.co/zcEyZ4LbTJ",#GOOG OR @Google
539564670328516608,Mon Dec 01 23:40:16 +0000 2014,"First commercial for @Apple pay #mobilepayments from @Chase to debut today http://t.co/GcyMblwPBF",#AAPL OR @Apple
539564713055502336,Mon Dec 01 23:40:26 +0000 2014,"New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF",#AAPL OR @Apple
539565092774617089,Mon Dec 01 23:41:57 +0000 2014,"Does anyone know how to remove images from google image search?(if we cant contact the webmaster)  @google",#GOOG OR @Google
539565940979929088,Mon Dec 01 23:45:19 +0000 2014,"@google @YouTube my channel doesn't appear when I go to the link for it

The link is http://t.co/yguwKVflux",#GOOG OR @Google
539568871150071808,Mon Dec 01 23:56:58 +0000 2014,"RT @sengineland: .@Google received 160K Right To Be Forgotten requests as of 11/5, while @Bing received just 699: http://t.co/aIumvHb646",#GOOG OR @Google
539569700993110016,Tue Dec 02 00:00:16 +0000 2014,".@Google, your employees &amp; users approve of Title II #NetNeutrality, join us! http://t.co/6QkCCBy2e9 @fightfortheftr #p2 #Internet #google",#GOOG OR @Google
539570339064213504,Tue Dec 02 00:02:48 +0000 2014,"@Google Can we rename lollipop to 'Windows ME'? Maybe not, ME crashed less and let me reboot.",#GOOG OR @Google
539571167929962496,Tue Dec 02 00:06:05 +0000 2014,"i get the storage almost full notification literally every 5 minutes chill @apple",#AAPL OR @Apple
539571955234766848,Tue Dec 02 00:09:13 +0000 2014,"RT @WomenWhoCode: Excited to be at @google's Week of Giving! Thank you @Rjamm86 http://t.co/pWYB4odrMj",#GOOG OR @Google
539572167063900160,Tue Dec 02 00:10:04 +0000 2014,"RT @WomenWhoCode: Excited to be at @google's Week of Giving! Thank you @Rjamm86 http://t.co/pWYB4odrMj",#GOOG OR @Google
539572862500102144,Tue Dec 02 00:12:49 +0000 2014,"@google wow, that was a good one...",#GOOG OR @Google
539573099566755841,Tue Dec 02 00:13:46 +0000 2014,"@innertrends It was amasing, the HR team and everybody are very helpful. Learned a lot of new things about @google apps :)",#GOOG OR @Google
539573132441694208,Tue Dec 02 00:13:54 +0000 2014,"From @Google Race with Rudolph and skydive with Santa in the countdown to December 24 http://t.co/zZqabBfa6x",#GOOG OR @Google
539573262796087297,Tue Dec 02 00:14:25 +0000 2014,"I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n",#AAPL OR @Apple
539573457952845824,Tue Dec 02 00:15:11 +0000 2014,"@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle",#AAPL OR @Apple
539573478270439424,Tue Dec 02 00:15:16 +0000 2014,"Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads",#AAPL OR @Apple
539573495957422080,Tue Dec 02 00:15:20 +0000 2014,"Official Google Blog: Race with Rudolph and skydive with Santa in the countdown to December 24 http://t.co/uhU3fSssjH via @google",#GOOG OR @Google
539573520695848960,Tue Dec 02 00:15:26 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539573601876574208,Tue Dec 02 00:15:46 +0000 2014,"You niggas hiring? @google",#GOOG OR @Google
539573677483114496,Tue Dec 02 00:16:04 +0000 2014,"@thehill @Apple i cite the 4th amendment as a retort",#AAPL OR @Apple
