symbol,nr,timestamp,open,high,low,close,volume
AAPL,321977,2014-12-03 18:09:59,115.5025,115.55,115.48,115.53,43400
AAPL,321978,2014-12-03 18:10:59,115.52,115.525,115.44,115.49,67100
AAPL,321979,2014-12-03 18:11:03,115.49,115.5,115.45,115.46,55800
AAPL,321980,2014-12-03 18:12:00,115.46,115.51,115.4563,115.501,33800
AAPL,321981,2014-12-03 18:13:00,115.51,115.57,115.4934,115.5672,25200
AAPL,321982,2014-12-03 18:14:00,115.566,115.59,115.54,115.549,28500
AAPL,321983,2014-12-03 18:15:00,115.549,115.59,115.549,115.59,21400
AAPL,321984,2014-12-03 18:16:59,115.595,115.595,115.55,115.575,16000
AAPL,321985,2014-12-03 18:17:59,115.575,115.585,115.53,115.53,27400
AAPL,321986,2014-12-03 18:18:00,115.54,115.559,115.51,115.55,23000
AAPL,321987,2014-12-03 18:19:59,115.56,115.59,115.55,115.57,34300
AAPL,321988,2014-12-03 18:20:58,115.5899,115.5899,115.535,115.57,22900
AAPL,321989,2014-12-03 18:21:02,115.5625,115.5625,115.47,115.49,58900
AAPL,321990,2014-12-03 18:22:59,115.48,115.52,115.47,115.52,28400
AAPL,321991,2014-12-03 18:23:00,115.5,115.54,115.5,115.535,20200
AAPL,321992,2014-12-03 18:24:59,115.52,115.56,115.5,115.56,17900
AAPL,321993,2014-12-03 18:25:02,115.55,115.555,115.51,115.5299,23100
AAPL,321994,2014-12-03 18:26:00,115.525,115.56,115.5,115.56,58900
AAPL,321995,2014-12-03 18:27:59,115.57,115.64,115.5625,115.64,49200
AAPL,321996,2014-12-03 18:28:00,115.635,115.74,115.6232,115.6401,129800
AAPL,321997,2014-12-03 18:29:01,115.64,115.67,115.605,115.605,47400
AAPL,321998,2014-12-03 18:30:00,115.6,115.72,115.6,115.7001,76400
AAPL,321999,2014-12-03 18:31:01,115.7028,115.72,115.64,115.65,40000
AAPL,322000,2014-12-03 18:32:58,115.6528,115.71,115.65,115.6992,36100
AAPL,322001,2014-12-03 18:33:01,115.7,115.73,115.68,115.73,47300
AAPL,322002,2014-12-03 18:34:01,115.7425,115.75,115.65,115.69,92000
AAPL,322003,2014-12-03 18:35:00,115.7,115.7,115.65,115.67,27200
AAPL,322004,2014-12-03 18:36:01,115.66,115.67,115.561,115.61,70000
AAPL,322005,2014-12-03 18:37:03,115.61,115.68,115.6,115.6687,23300
AAPL,322006,2014-12-03 18:38:58,115.66,115.705,115.65,115.65,36500
AAPL,322007,2014-12-03 18:39:00,115.659,115.7001,115.64,115.6999,21300
AAPL,322008,2014-12-03 18:40:00,115.69,115.69,115.62,115.64,37500
AAPL,322009,2014-12-03 18:41:03,115.6499,115.665,115.63,115.64,20500
AAPL,322010,2014-12-03 18:42:59,115.65,115.65,115.57,115.5925,43500
AAPL,322011,2014-12-03 18:43:59,115.5968,115.686,115.595,115.67,82200
AAPL,322012,2014-12-03 18:44:01,115.675,115.71,115.675,115.7,55800
AAPL,322013,2014-12-03 18:45:58,115.69,115.7,115.65,115.66,40900
